,YearSchluessel,Year,Stadt-/Landkreis,Mindestsicherungsquote in %,LAND_NAME,LAND_ABK
3358,201303358,2013,Landkreis Heidekreis,8.4,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,9.0,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,8.1,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,9.200000000000001,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,8.0,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,8.3,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,7.4,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,7.800000000000001,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,16.1,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,17.400000000000002,Niedersachsen,NI
3402,201303402,2013,Emden,12.3,Niedersachsen,NI
3402,201703402,2017,Emden,13.8,Niedersachsen,NI
3403,201303403,2013,Oldenburg,12.3,Niedersachsen,NI
3403,201703403,2017,Oldenburg,13.200000000000001,Niedersachsen,NI
3404,201303404,2013,Osnabrück,12.600000000000001,Niedersachsen,NI
3404,201703404,2017,Osnabrück,13.4,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,15.9,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,17.900000000000002,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,6.1000000000000005,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,6.9,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,8.700000000000001,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,9.0,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,6.4,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,7.0,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,5.300000000000001,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,6.0,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,7.5,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,7.800000000000001,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,6.300000000000001,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,6.7,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,7.2,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,7.7,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),6.4,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),6.800000000000001,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),5.800000000000001,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),5.7,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,5.2,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,6.5,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,9.600000000000001,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,10.200000000000001,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,8.200000000000001,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,7.6000000000000005,Niedersachsen,NI
4011,201304011,2013,Bremen,15.9,Bremen,HB
4011,201704011,2017,Bremen,17.2,Bremen,HB
4012,201304012,2013,Bremerhaven,20.700000000000003,Bremen,HB
4012,201704012,2017,Bremerhaven,21.400000000000002,Bremen,HB
5111,201305111,2013,Düsseldorf,12.700000000000001,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,13.4,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,15.4,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,17.900000000000002,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,17.0,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,18.7,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,14.3,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,15.4,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,16.8,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,18.0,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,13.100000000000001,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,15.4,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,14.600000000000001,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,16.2,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,12.200000000000001,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,13.5,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,11.200000000000001,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,11.9,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,15.9,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,17.2,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,7.4,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,8.4,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,9.4,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,10.0,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,8.0,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,9.200000000000001,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,7.9,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,8.3,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,8.700000000000001,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,9.700000000000001,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,10.8,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,11.9,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,13.700000000000001,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,14.0,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,11.700000000000001,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,13.0,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,11.4,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,11.8,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,10.200000000000001,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,10.700000000000001,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,9.200000000000001,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,9.8,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,7.2,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,8.1,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,8.6,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,8.700000000000001,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,6.7,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,7.5,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,7.1000000000000005,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,8.200000000000001,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,7.300000000000001,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,8.1,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,11.4,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,12.3,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,19.5,Nordrhein-Westfalen,NW
5513,201705513,2017,Gelsenkirchen,22.700000000000003,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,8.700000000000001,Nordrhein-Westfalen,NW
5515,201705515,2017,Münster,9.200000000000001,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,5.9,Nordrhein-Westfalen,NW
5554,201705554,2017,Kreis Borken,6.300000000000001,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,5.1000000000000005,Nordrhein-Westfalen,NW
5558,201705558,2017,Kreis Coesfeld,6.1000000000000005,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,13.100000000000001,Nordrhein-Westfalen,NW
5562,201705562,2017,Kreis Recklinghausen,14.600000000000001,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,6.7,Nordrhein-Westfalen,NW
5566,201705566,2017,Kreis Steinfurt,7.5,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,7.1000000000000005,Nordrhein-Westfalen,NW
5570,201705570,2017,Kreis Warendorf,8.1,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,12.8,Nordrhein-Westfalen,NW
5711,201705711,2017,Bielefeld,13.9,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,6.4,Nordrhein-Westfalen,NW
5754,201705754,2017,Kreis Gütersloh,7.1000000000000005,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,8.0,Nordrhein-Westfalen,NW
5758,201705758,2017,Kreis Herford,8.8,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,5.9,Nordrhein-Westfalen,NW
5762,201705762,2017,Kreis Höxter,6.6000000000000005,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,9.3,Nordrhein-Westfalen,NW
5766,201705766,2017,Kreis Lippe,9.9,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,8.700000000000001,Nordrhein-Westfalen,NW
5770,201705770,2017,Kreis Minden-Lübbecke,9.700000000000001,Nordrhein-Westfalen,NW
5774,201305774,2013,Kreis Paderborn,8.1,Nordrhein-Westfalen,NW
5774,201705774,2017,Kreis Paderborn,8.8,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,12.8,Nordrhein-Westfalen,NW
5911,201705911,2017,Bochum,14.700000000000001,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,16.400000000000002,Nordrhein-Westfalen,NW
5913,201705913,2017,Dortmund,18.0,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,14.5,Nordrhein-Westfalen,NW
5914,201705914,2017,Hagen,17.2,Nordrhein-Westfalen,NW
5915,201305915,2013,Hamm,13.600000000000001,Nordrhein-Westfalen,NW
5915,201705915,2017,Hamm,13.3,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,15.3,Nordrhein-Westfalen,NW
5916,201705916,2017,Herne,17.7,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,9.700000000000001,Nordrhein-Westfalen,NW
5954,201705954,2017,Ennepe-Ruhr-Kreis,10.8,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,6.7,Nordrhein-Westfalen,NW
5958,201705958,2017,Hochsauerlandkreis,7.4,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,9.3,Nordrhein-Westfalen,NW
5962,201705962,2017,Märkischer Kreis,10.100000000000001,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,5.4,Nordrhein-Westfalen,NW
5966,201705966,2017,Kreis Olpe,5.9,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,6.9,Nordrhein-Westfalen,NW
5970,201705970,2017,Kreis Siegen-Wittgenstein,8.200000000000001,Nordrhein-Westfalen,NW
5974,201305974,2013,Kreis Soest,7.300000000000001,Nordrhein-Westfalen,NW
5974,201705974,2017,Kreis Soest,8.1,Nordrhein-Westfalen,NW
5978,201305978,2013,Kreis Unna,11.4,Nordrhein-Westfalen,NW
5978,201705978,2017,Kreis Unna,11.700000000000001,Nordrhein-Westfalen,NW
6411,201306411,2013,Darmstadt,10.600000000000001,Hessen,HE
6411,201706411,2017,Darmstadt,11.9,Hessen,HE
6412,201306412,2013,Frankfurt (Main),12.600000000000001,Hessen,HE
6412,201706412,2017,Frankfurt (Main),12.600000000000001,Hessen,HE
6413,201306413,2013,Offenbach am Main,18.7,Hessen,HE
6413,201706413,2017,Offenbach am Main,16.6,Hessen,HE
6414,201306414,2013,Wiesbaden,13.600000000000001,Hessen,HE
6414,201706414,2017,Wiesbaden,14.700000000000001,Hessen,HE
6431,201306431,2013,Landkreis Bergstrasse,6.300000000000001,Hessen,HE
6431,201706431,2017,Landkreis Bergstrasse,7.300000000000001,Hessen,HE
6432,201306432,2013,Landkreis Darmstadt-Dieburg,6.5,Hessen,HE
6432,201706432,2017,Landkreis Darmstadt-Dieburg,6.9,Hessen,HE
6433,201306433,2013,Landkreis Groß-Gerau,9.0,Hessen,HE
6433,201706433,2017,Landkreis Groß-Gerau,9.600000000000001,Hessen,HE
6434,201306434,2013,Hochtaunuskreis,5.0,Hessen,HE
6434,201706434,2017,Hochtaunuskreis,6.300000000000001,Hessen,HE
6435,201306435,2013,Main-Kinzig-Kreis,7.4,Hessen,HE
6435,201706435,2017,Main-Kinzig-Kreis,8.1,Hessen,HE
6436,201306436,2013,Main-Taunus-Kreis,5.4,Hessen,HE
6436,201706436,2017,Main-Taunus-Kreis,6.300000000000001,Hessen,HE
6437,201306437,2013,Odenwaldkreis,7.2,Hessen,HE
6437,201706437,2017,Odenwaldkreis,7.2,Hessen,HE
6438,201306438,2013,Landkreis Offenbach,8.0,Hessen,HE
6438,201706438,2017,Landkreis Offenbach,8.3,Hessen,HE
6439,201306439,2013,Rheingau-Taunus-Kreis,5.2,Hessen,HE
6439,201706439,2017,Rheingau-Taunus-Kreis,6.800000000000001,Hessen,HE
6440,201306440,2013,Wetteraukreis,6.300000000000001,Hessen,HE
6440,201706440,2017,Wetteraukreis,7.1000000000000005,Hessen,HE
6531,201306531,2013,Landkreis Gießen,9.200000000000001,Hessen,HE
6531,201706531,2017,Landkreis Gießen,10.8,Hessen,HE
6532,201306532,2013,Lahn-Dill Kreis,8.1,Hessen,HE
6532,201706532,2017,Lahn-Dill Kreis,9.0,Hessen,HE
6533,201306533,2013,Landkreis Limburg-Weilburg,7.7,Hessen,HE
6533,201706533,2017,Landkreis Limburg-Weilburg,8.5,Hessen,HE
