,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
3241,201303241,2013,Hannover,55.0,Niedersachsen,NI
3241,200903241,2009,Hannover,49.800000000000004,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,62.2,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,58.1,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,52.800000000000004,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,59.2,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,55.1,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,50.300000000000004,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,57.800000000000004,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,54.1,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,49.800000000000004,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,56.5,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,52.300000000000004,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,49.900000000000006,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),60.300000000000004,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),56.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),51.300000000000004,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,57.6,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,53.800000000000004,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,48.900000000000006,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,57.1,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,53.5,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,48.900000000000006,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,57.400000000000006,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,53.300000000000004,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,49.300000000000004,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,61.7,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,58.800000000000004,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,52.7,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,52.800000000000004,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,47.800000000000004,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,43.900000000000006,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,55.7,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,53.0,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,48.300000000000004,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,60.7,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,56.6,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,51.900000000000006,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),60.800000000000004,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),56.6,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),52.400000000000006,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,58.400000000000006,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,55.900000000000006,Niedersachsen,NI
