,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
3153,201703153,2017,Landkreis Goslar,49.0,67.7,69.2,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,40.6,61.800000000000004,58.300000000000004,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,46.300000000000004,64.8,64.0,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,48.6,64.7,59.800000000000004,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,36.2,51.800000000000004,62.1,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,49.6,60.900000000000006,60.7,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,42.1,63.300000000000004,60.6,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,47.800000000000004,55.1,52.2,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,55.6,55.6,55.7,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,38.5,65.4,63.400000000000006,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,43.2,67.8,50.300000000000004,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,43.7,73.10000000000001,70.60000000000001,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,40.1,64.5,54.6,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,48.300000000000004,62.2,56.6,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,45.300000000000004,71.9,66.2,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,45.400000000000006,60.5,63.400000000000006,Niedersachsen,NI
3241,200903241,2009,Hannover,43.2,62.0,58.800000000000004,Niedersachsen,NI
3241,201303241,2013,Hannover,47.6,60.7,57.2,Niedersachsen,NI
3241,201703241,2017,Hannover,45.900000000000006,62.5,62.1,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,45.5,70.10000000000001,68.10000000000001,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,45.2,59.0,61.0,Niedersachsen,NI
