,YearSchluessel,Year,Stadt-/Landkreis,Altenquotient,Jugendquotient,Gesamtquotient,LAND_NAME,LAND_ABK
1058,200901058,2009,Kreis Rendsburg-Eckernförde,36.9,36.800000000000004,73.7,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,38.6,34.4,73.0,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,40.400000000000006,33.6,74.0,Schleswig-Holstein,SH
1059,199501059,1995,Kreis Schleswig,24.900000000000002,37.6,62.6,Schleswig-Holstein,SH
1059,200001059,2000,Kreis Schleswig,26.700000000000003,38.900000000000006,65.7,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,34.0,39.6,73.60000000000001,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,37.800000000000004,37.7,75.60000000000001,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,39.5,34.800000000000004,74.3,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,41.300000000000004,34.0,75.3,Schleswig-Holstein,SH
1060,199501060,1995,Kreis Segeberg,20.0,33.1,53.1,Schleswig-Holstein,SH
1060,200001060,2000,Kreis Segeberg,22.3,34.7,57.0,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,29.200000000000003,35.6,64.8,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,33.800000000000004,34.5,68.3,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,35.5,32.300000000000004,67.9,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,36.800000000000004,32.5,69.3,Schleswig-Holstein,SH
1061,199501061,1995,Kreis Steinburg,25.5,35.2,60.6,Schleswig-Holstein,SH
1061,200001061,2000,Kreis Steinburg,26.900000000000002,37.300000000000004,64.2,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,33.1,38.5,71.60000000000001,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,36.5,35.9,72.3,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,37.4,32.800000000000004,70.2,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,38.6,32.1,70.7,Schleswig-Holstein,SH
1062,199501062,1995,Kreis Stormarn,22.900000000000002,31.1,54.0,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,25.700000000000003,32.9,58.6,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,33.300000000000004,34.800000000000004,68.10000000000001,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,37.9,34.9,72.7,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,38.800000000000004,33.7,72.4,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,40.0,33.800000000000004,73.7,Schleswig-Holstein,SH
2000,199502,1995,Hamburg,26.1,27.5,53.6,Hamburg,HH
2000,200002,2000,Hamburg,26.0,27.700000000000003,53.7,Hamburg,HH
