,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
3101,200903101,2009,Braunschweig,36550.0,Niedersachsen,NI
3101,201303101,2013,Braunschweig,41592.0,Niedersachsen,NI
3101,201603101,2016,Braunschweig,46928.0,Niedersachsen,NI
3102,200003102,2000,Salzgitter,32788.0,Niedersachsen,NI
3102,200503102,2005,Salzgitter,37392.0,Niedersachsen,NI
3102,200903102,2009,Salzgitter,34965.0,Niedersachsen,NI
3102,201303102,2013,Salzgitter,46710.0,Niedersachsen,NI
3102,201603102,2016,Salzgitter,49597.0,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,81111.0,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,87462.0,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,83088.0,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,128892.0,Niedersachsen,NI
3103,201603103,2016,Wolfsburg,178706.0,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,13797.0,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,14465.0,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,15711.0,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,18946.0,Niedersachsen,NI
3151,201603151,2016,Landkreis Gifhorn,22131.0,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,19399.0,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,21093.0,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,21467.0,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,25150.0,Niedersachsen,NI
3153,201603153,2016,Landkreis Goslar,27997.0,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,15377.0,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,15100.0,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,16339.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,19957.0,Niedersachsen,NI
3154,201603154,2016,Landkreis Helmstedt,20232.0,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,18582.0,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,19054.0,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,21873.0,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,25088.0,Niedersachsen,NI
3155,201603155,2016,Landkreis Northeim,28348.0,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201603156,2016,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,16003.0,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,16357.0,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,18528.0,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,20554.0,Niedersachsen,NI
3157,201603157,2016,Landkreis Peine,21113.0,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,12623.0,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,13089.0,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,15193.0,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,18872.0,Niedersachsen,NI
3158,201603158,2016,Landkreis Wolfenbüttel,19955.0,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,23611.0,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,25984.0,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,27746.0,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,31112.0,Niedersachsen,NI
3159,201603159,2016,Landkreis Göttingen,33320.0,Niedersachsen,NI
3241,200003241,2000,Hannover,30907.0,Niedersachsen,NI
3241,200503241,2005,Hannover,34219.0,Niedersachsen,NI
3241,200903241,2009,Hannover,36489.0,Niedersachsen,NI
3241,201303241,2013,Hannover,39862.0,Niedersachsen,NI
3241,201603241,2016,Hannover,43240.0,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,20439.0,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,21574.0,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,23024.0,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,27681.0,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,29544.0,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,23725.0,Niedersachsen,NI
