,YearSchluessel,Year,Stadt-/Landkreis,Verfügbares Einkommen je Einwohner in EUR,LAND_NAME,LAND_ABK
3101,200503101,2005,Braunschweig,17918.0,Niedersachsen,NI
3101,200903101,2009,Braunschweig,18628.0,Niedersachsen,NI
3101,201303101,2013,Braunschweig,20200.0,Niedersachsen,NI
3101,201603101,2016,Braunschweig,21419.0,Niedersachsen,NI
3102,200203102,2002,Salzgitter,15448.0,Niedersachsen,NI
3102,200503102,2005,Salzgitter,16137.0,Niedersachsen,NI
3102,200903102,2009,Salzgitter,17184.0,Niedersachsen,NI
3102,201303102,2013,Salzgitter,18912.0,Niedersachsen,NI
3102,201603102,2016,Salzgitter,19585.0,Niedersachsen,NI
3103,200203103,2002,Wolfsburg,17550.0,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,18583.0,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,19471.0,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,22601.0,Niedersachsen,NI
3103,201603103,2016,Wolfsburg,24083.0,Niedersachsen,NI
3151,200203151,2002,Landkreis Gifhorn,15892.0,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,16734.0,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,18192.0,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,21640.0,Niedersachsen,NI
3151,201603151,2016,Landkreis Gifhorn,23101.0,Niedersachsen,NI
3153,200203153,2002,Landkreis Goslar,15664.0,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,16714.0,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,17586.0,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,19080.0,Niedersachsen,NI
3153,201603153,2016,Landkreis Goslar,20269.0,Niedersachsen,NI
3154,200203154,2002,Landkreis Helmstedt,16481.0,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,17232.0,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,18454.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,21104.0,Niedersachsen,NI
3154,201603154,2016,Landkreis Helmstedt,22604.0,Niedersachsen,NI
3155,200203155,2002,Landkreis Northeim,15588.0,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,16472.0,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,17695.0,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,19742.0,Niedersachsen,NI
3155,201603155,2016,Landkreis Northeim,21284.0,Niedersachsen,NI
3156,200203156,2002,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201603156,2016,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,200203157,2002,Landkreis Peine,16009.0,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,16689.0,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,17764.0,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,19923.0,Niedersachsen,NI
3157,201603157,2016,Landkreis Peine,21203.0,Niedersachsen,NI
3158,200203158,2002,Landkreis Wolfenbüttel,15762.0,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,16539.0,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,17774.0,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,20226.0,Niedersachsen,NI
3158,201603158,2016,Landkreis Wolfenbüttel,21556.0,Niedersachsen,NI
3159,200203159,2002,Landkreis Göttingen,15359.0,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,16579.0,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,17530.0,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,19043.0,Niedersachsen,NI
3159,201603159,2016,Landkreis Göttingen,20264.0,Niedersachsen,NI
3241,200203241,2002,Hannover,16735.0,Niedersachsen,NI
3241,200503241,2005,Hannover,17524.0,Niedersachsen,NI
3241,200903241,2009,Hannover,18642.0,Niedersachsen,NI
3241,201303241,2013,Hannover,19924.0,Niedersachsen,NI
3241,201603241,2016,Hannover,20977.0,Niedersachsen,NI
3251,200203251,2002,Landkreis Diepholz,16575.0,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,17815.0,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,19016.0,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,21230.0,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,22469.0,Niedersachsen,NI
3252,200203252,2002,Landkreis Hameln-Pyrmont,16040.0,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,16843.0,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,18047.0,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,19990.0,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,21292.0,Niedersachsen,NI
3254,200203254,2002,Landkreis Hildesheim,16004.0,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,16769.0,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,17661.0,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,19234.0,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,20609.0,Niedersachsen,NI
3255,200203255,2002,Landkreis Holzminden,15609.0,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,16245.0,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,17539.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,19239.0,Niedersachsen,NI
3255,201603255,2016,Landkreis Holzminden,20573.0,Niedersachsen,NI
3256,200203256,2002,Landkreis Nienburg (Weser),15064.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),16043.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),17187.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),19363.0,Niedersachsen,NI
3256,201603256,2016,Landkreis Nienburg (Weser),20356.0,Niedersachsen,NI
3257,200203257,2002,Landkreis Schaumburg,16388.0,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,17031.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,18076.0,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,20004.0,Niedersachsen,NI
3257,201603257,2016,Landkreis Schaumburg,21404.0,Niedersachsen,NI
3351,200203351,2002,Landkreis Celle,14673.0,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,14687.0,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,17211.0,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,19127.0,Niedersachsen,NI
3351,201603351,2016,Landkreis Celle,20291.0,Niedersachsen,NI
3352,200203352,2002,Landkreis Cuxhaven,15069.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,16199.0,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,17898.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,19831.0,Niedersachsen,NI
3352,201603352,2016,Landkreis Cuxhaven,21012.0,Niedersachsen,NI
3353,200203353,2002,Landkreis Harburg,19514.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,21273.0,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,22215.0,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,23661.0,Niedersachsen,NI
3353,201603353,2016,Landkreis Harburg,24798.0,Niedersachsen,NI
3354,200203354,2002,Landkreis Lüchow-Dannenberg,14329.0,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,15614.0,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,16663.0,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,18650.0,Niedersachsen,NI
3354,201603354,2016,Landkreis Lüchow-Dannenberg,19529.0,Niedersachsen,NI
3355,200203355,2002,Landkreis Lüneburg,15405.0,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,16372.0,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,17486.0,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,19025.0,Niedersachsen,NI
3355,201603355,2016,Landkreis Lüneburg,20583.0,Niedersachsen,NI
3356,200203356,2002,Landkreis Osterholz,16579.0,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,17516.0,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,18667.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,20582.0,Niedersachsen,NI
3356,201603356,2016,Landkreis Osterholz,21846.0,Niedersachsen,NI
3357,200203357,2002,Landkreis Rotenburg (Wümme),15300.0,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),16517.0,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),17928.0,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),20487.0,Niedersachsen,NI
3357,201603357,2016,Landkreis Rotenburg (Wümme),21472.0,Niedersachsen,NI
3358,200203358,2002,Landkreis Heidekreis,15226.0,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,16125.0,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,17245.0,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,19312.0,Niedersachsen,NI
3358,201603358,2016,Landkreis Heidekreis,20183.0,Niedersachsen,NI
