,YearSchluessel,Year,Stadt-/Landkreis,Arbeitslosenquote in %,Anteil Arbeitslose 15-24 Jahre an Arbeitsl. insg. In %,Anteil Arbeitslose 55-64 Jahre an Arbeitsl. insg. In %,Anteil Langzeitarbeitslose an Arbeitslosen insg. In %,Anteil arbeitslose Ausländer an Arbeitslosen insg. In %,LAND_NAME,LAND_ABK
1057,201701057,2017,Kreis Plön,5.0,10.700000000000001,25.900000000000002,32.7,13.700000000000001,Schleswig-Holstein,SH
1058,200101058,2001,Kreis Rendsburg-Eckernförde,7.4,12.600000000000001,17.6,27.200000000000003,5.2,Schleswig-Holstein,SH
1058,200501058,2005,Kreis Rendsburg-Eckernförde,9.600000000000001,10.600000000000001,11.4,28.6,6.5,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,6.1000000000000005,11.200000000000001,14.0,25.0,6.300000000000001,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,5.7,12.0,19.8,32.4,6.6000000000000005,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,4.9,11.5,22.6,31.8,16.2,Schleswig-Holstein,SH
1059,200101059,2001,Kreis Schleswig,7.7,13.700000000000001,15.700000000000001,23.5,3.7,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,10.200000000000001,13.200000000000001,11.100000000000001,,6.800000000000001,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,9.0,13.100000000000001,15.200000000000001,42.5,4.9,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,7.7,12.0,18.0,45.5,5.4,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,6.0,10.5,21.700000000000003,44.7,14.700000000000001,Schleswig-Holstein,SH
1060,200101060,2001,Kreis Segeberg,6.6000000000000005,14.100000000000001,21.400000000000002,28.8,9.700000000000001,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,8.4,12.0,13.100000000000001,33.6,8.3,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,5.5,11.700000000000001,15.600000000000001,24.6,10.0,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,5.1000000000000005,9.700000000000001,20.8,30.900000000000002,10.5,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,4.7,10.3,20.700000000000003,32.0,21.3,Schleswig-Holstein,SH
1061,200101061,2001,Kreis Steinburg,8.6,13.700000000000001,15.700000000000001,35.300000000000004,5.6000000000000005,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,11.600000000000001,13.200000000000001,10.8,38.0,6.1000000000000005,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,6.1000000000000005,13.3,13.3,18.0,6.5,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,6.1000000000000005,12.700000000000001,19.5,29.3,7.1000000000000005,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,6.1000000000000005,12.600000000000001,20.0,34.9,18.1,Schleswig-Holstein,SH
1062,200101062,2001,Kreis Stormarn,5.800000000000001,12.3,22.3,28.400000000000002,8.200000000000001,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,7.7,10.9,14.4,30.5,9.5,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,4.6000000000000005,12.100000000000001,15.600000000000001,25.8,10.9,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,4.2,9.700000000000001,20.900000000000002,31.200000000000003,13.3,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,3.4000000000000004,9.8,22.3,26.400000000000002,24.400000000000002,Schleswig-Holstein,SH
2000,200102,2001,Hamburg,8.200000000000001,10.5,18.6,31.0,22.200000000000003,Hamburg,HH
2000,200502,2005,Hamburg,11.3,10.4,12.700000000000001,30.0,21.900000000000002,Hamburg,HH
2000,200902,2009,Hamburg,8.6,9.600000000000001,11.3,30.1,23.900000000000002,Hamburg,HH
2000,201302,2013,Hamburg,7.4,7.6000000000000005,14.700000000000001,31.1,25.400000000000002,Hamburg,HH
2000,201702,2017,Hamburg,6.800000000000001,7.800000000000001,16.6,30.8,31.6,Hamburg,HH
3101,200103101,2001,Braunschweig,10.8,11.5,18.8,37.0,13.3,Niedersachsen,NI
3101,200503101,2005,Braunschweig,13.200000000000001,10.100000000000001,11.0,42.6,14.0,Niedersachsen,NI
3101,200903101,2009,Braunschweig,9.3,8.3,12.700000000000001,34.4,15.700000000000001,Niedersachsen,NI
3101,201303101,2013,Braunschweig,7.1000000000000005,6.800000000000001,17.0,37.6,16.3,Niedersachsen,NI
3101,201703101,2017,Braunschweig,5.800000000000001,6.6000000000000005,18.3,35.6,22.1,Niedersachsen,NI
3102,200103102,2001,Salzgitter,12.3,12.0,21.3,41.900000000000006,14.100000000000001,Niedersachsen,NI
3102,200503102,2005,Salzgitter,14.4,11.8,10.3,43.0,15.4,Niedersachsen,NI
3102,200903102,2009,Salzgitter,10.4,10.0,13.200000000000001,31.3,16.6,Niedersachsen,NI
3102,201303102,2013,Salzgitter,9.3,9.600000000000001,17.1,35.5,18.1,Niedersachsen,NI
3102,201703102,2017,Salzgitter,10.5,11.600000000000001,17.2,37.9,37.6,Niedersachsen,NI
3103,200103103,2001,Wolfsburg,8.8,14.0,23.900000000000002,38.300000000000004,14.5,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,10.8,15.8,8.5,35.9,16.0,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,6.6000000000000005,12.3,11.8,29.8,17.8,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,4.9,9.700000000000001,17.0,30.200000000000003,20.200000000000003,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,4.9,11.4,17.6,31.900000000000002,37.2,Niedersachsen,NI
3151,200103151,2001,Landkreis Gifhorn,9.4,11.8,20.5,37.300000000000004,8.3,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,10.4,14.9,9.1,36.2,9.9,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,6.4,14.200000000000001,11.9,30.700000000000003,11.600000000000001,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,5.2,11.100000000000001,18.8,35.0,11.9,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,4.7,12.5,19.1,34.2,19.0,Niedersachsen,NI
3153,200103153,2001,Landkreis Goslar,11.600000000000001,11.700000000000001,18.2,35.0,8.9,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,13.3,12.700000000000001,10.0,33.9,8.5,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,10.200000000000001,9.1,14.3,33.7,9.0,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,8.8,8.3,19.8,37.800000000000004,9.3,Niedersachsen,NI
