,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
3241,201303241,2013,Hannover,71.60000000000001,Niedersachsen,NI
3241,201703241,2017,Hannover,52.900000000000006,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,107.2,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,81.2,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,58.7,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,133.5,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,75.4,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,55.900000000000006,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,149.4,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,93.7,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,59.300000000000004,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,120.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,78.30000000000001,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,28.5,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),102.80000000000001,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),88.5,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),47.7,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,114.80000000000001,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,99.7,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,60.6,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,177.60000000000002,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,141.1,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,86.2,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,127.30000000000001,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,102.2,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,94.2,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,98.30000000000001,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,80.9,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,65.3,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,100.30000000000001,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,56.6,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,72.60000000000001,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,108.5,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,88.5,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,66.10000000000001,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,140.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,85.0,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,60.2,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),107.30000000000001,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),87.80000000000001,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),49.6,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,95.60000000000001,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,89.60000000000001,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,48.1,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,86.60000000000001,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,61.7,Niedersachsen,NI
