,YearSchluessel,Year,Stadt-/Landkreis,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen in Prozent,LAND_NAME,LAND_ABK
1060,201701060,2017,Kreis Segeberg,91.0,Schleswig-Holstein,SH
1061,199501061,1995,Kreis Steinburg,91.30000000000001,Schleswig-Holstein,SH
1061,200001061,2000,Kreis Steinburg,97.0,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,99.10000000000001,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,95.9,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,98.9,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,95.60000000000001,Schleswig-Holstein,SH
1062,199501062,1995,Kreis Stormarn,87.7,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,96.0,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,97.7,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,98.60000000000001,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,94.10000000000001,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,91.80000000000001,Schleswig-Holstein,SH
2000,199502,1995,Hamburg,69.4,Hamburg,HH
2000,200002,2000,Hamburg,78.5,Hamburg,HH
2000,200502,2005,Hamburg,89.4,Hamburg,HH
2000,200902,2009,Hamburg,83.9,Hamburg,HH
2000,201302,2013,Hamburg,78.10000000000001,Hamburg,HH
2000,201702,2017,Hamburg,74.10000000000001,Hamburg,HH
3101,199503101,1995,Braunschweig,73.60000000000001,Niedersachsen,NI
3101,200003101,2000,Braunschweig,92.60000000000001,Niedersachsen,NI
3101,200503101,2005,Braunschweig,95.5,Niedersachsen,NI
3101,200903101,2009,Braunschweig,91.4,Niedersachsen,NI
3101,201303101,2013,Braunschweig,89.30000000000001,Niedersachsen,NI
3101,201703101,2017,Braunschweig,67.9,Niedersachsen,NI
3102,199503102,1995,Salzgitter,91.60000000000001,Niedersachsen,NI
3102,200003102,2000,Salzgitter,94.10000000000001,Niedersachsen,NI
3102,200503102,2005,Salzgitter,97.30000000000001,Niedersachsen,NI
3102,200903102,2009,Salzgitter,92.5,Niedersachsen,NI
3102,201303102,2013,Salzgitter,94.60000000000001,Niedersachsen,NI
