,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
1061,200001061,2000,Kreis Steinburg,29.400000000000002,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,-8.1,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,-12.200000000000001,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,35.7,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,20.6,Schleswig-Holstein,SH
1062,199501062,1995,Kreis Stormarn,109.5,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,84.30000000000001,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,61.400000000000006,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,71.0,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,86.5,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,57.400000000000006,Schleswig-Holstein,SH
2000,199502,1995,Hamburg,37.7,Hamburg,HH
2000,200002,2000,Hamburg,74.3,Hamburg,HH
2000,200502,2005,Hamburg,58.2,Hamburg,HH
2000,200902,2009,Hamburg,13.9,Hamburg,HH
2000,201302,2013,Hamburg,68.7,Hamburg,HH
2000,201702,2017,Hamburg,98.9,Hamburg,HH
3101,199503101,1995,Braunschweig,-25.700000000000003,Niedersachsen,NI
3101,200003101,2000,Braunschweig,4.6000000000000005,Niedersachsen,NI
3101,200503101,2005,Braunschweig,9.1,Niedersachsen,NI
3101,200903101,2009,Braunschweig,82.30000000000001,Niedersachsen,NI
3101,201303101,2013,Braunschweig,80.0,Niedersachsen,NI
3101,201703101,2017,Braunschweig,-6.0,Niedersachsen,NI
3102,199503102,1995,Salzgitter,16.6,Niedersachsen,NI
3102,200003102,2000,Salzgitter,-37.9,Niedersachsen,NI
3102,200503102,2005,Salzgitter,-61.1,Niedersachsen,NI
3102,200903102,2009,Salzgitter,-44.0,Niedersachsen,NI
3102,201303102,2013,Salzgitter,63.2,Niedersachsen,NI
3102,201703102,2017,Salzgitter,117.80000000000001,Niedersachsen,NI
3103,199503103,1995,Wolfsburg,-29.5,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,9.600000000000001,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,-41.900000000000006,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,70.7,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,83.4,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,19.400000000000002,Niedersachsen,NI
3151,199503151,1995,Landkreis Gifhorn,168.20000000000002,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,60.1,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,4.7,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,-23.400000000000002,Niedersachsen,NI
