,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote Männer in %,Beschäftigtenquote Frauen in %,Index Beschäftigtenquote,LAND_NAME,LAND_ABK
3154,201703154,2017,Landkreis Helmstedt,66.4,55.400000000000006,83.4,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,64.5,49.900000000000006,77.5,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,57.800000000000004,43.400000000000006,75.10000000000001,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,62.900000000000006,56.400000000000006,89.7,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,59.300000000000004,52.0,87.7,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,53.900000000000006,46.900000000000006,87.0,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,58.7,48.900000000000006,83.2,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,54.1,43.400000000000006,80.2,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,65.5,55.1,84.10000000000001,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,63.0,51.1,81.10000000000001,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,59.1,46.400000000000006,78.5,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,61.900000000000006,54.400000000000006,87.80000000000001,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,59.5,49.6,83.4,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,55.900000000000006,45.400000000000006,81.2,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,57.7,53.400000000000006,92.5,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,,Niedersachsen,NI
3241,201703241,2017,Hannover,60.7,55.1,90.80000000000001,Niedersachsen,NI
3241,201303241,2013,Hannover,57.900000000000006,52.1,89.9,Niedersachsen,NI
3241,200903241,2009,Hannover,52.2,47.400000000000006,90.7,Niedersachsen,NI
